gene_name	Area
ATF3	apoptosis
BAX	apoptosis
BBC3	apoptosis
BLCAP	apoptosis
CDIP1	apoptosis
CYFIP2	apoptosis
FAS	apoptosis
IKBIP	apoptosis
PHLDA3	apoptosis
PRDM1	apoptosis
RPS27L	apoptosis
TNFRSF10B	apoptosis
TP53I3	apoptosis
TP53INP1	apoptosis
MDM2	p53_control
PPM1D	p53_control
PTP4A1	p53_control
BTG2	cell_cycle_arrest
CCNG1	cell_cycle_arrest
CDKN1A	cell_cycle_arrest
DUSP14	cell_cycle_arrest
GADD45A	cell_cycle_arrest
NUPR1	cell_cycle_arrest
PLK2	cell_cycle_arrest
PLK3	cell_cycle_arrest
ZMAT3	cell_cycle_arrest
ZNF385A	cell_cycle_arrest
DRAM	autophagy
EI24	autophagy
SESN1	autophagy
SESN2	autophagy
ABCA12	differentiation
ADIRF	differentiation
CD82	differentiation
EFNB1	differentiation
GDF15	differentiation
HES2	differentiation
LIF	differentiation
PSTPIP2	differentiation
TGFA	differentiation
TSKU	differentiation
WDR63	differentiation
ASCC3	DNA_repair
DDB2	DNA_repair
POLH	DNA_repair
RRM2B	DNA_repair
XPC	DNA_repair
DDIT4	survival
GPR87	survival
PGF	survival
PRKX	survival
RAP2B	survival
SERPINE1	survival
SERTAD1	survival
TRAF4	survival
TRIAP1	survival
APOBEC3C	antiviral
APOBEC3H	antiviral
ETV7	antiviral
ACER2	metabolism
CEL	metabolism
CMBL	metabolism
FDXR	metabolism
NADSYN1	metabolism
PANK1	metabolism
PNPO	metabolism
PRKAB1	metabolism
TIGAR	metabolism
CSNK1G1	signal transduction
DGKA	signal transduction
FHL2	signal transduction
INPP1	signal transduction
LRP1	signal transduction
PHPT1	signal transduction
AMZ2	other
AMZ2P1	other
ANKRA2	other
ANXA4	other
BLOC1S2	other
C19orf82	other
C9orf169	other
CDC42SE1	other
DCP1B	other
EPS8L2	other
FAM210B	other
FAM212B	other
FBXO22	other
GATS	other
GRIN2C	other
ISCU	other
KANK3	other
KLHDC7A	other
KLHL30	other
KIAA0247	other
NINJ1	other
PARD6G	other
RNF19B	other
SULF2	other
TMEM63B	other
TMEM68	other
ZNF79	other
ZNF337	other
ZNF561	other
