seqnames	start	stop	strand
17	7676593	7676594	-
17	7676592	7676593	-
17	7676591	7676592	-
17	7676590	7676591	-
17	7676589	7676590	-
17	7676588	7676589	-
17	7676587	7676588	-
17	7676586	7676587	-
17	7676585	7676586	-
17	7676584	7676585	-
17	7676583	7676584	-
17	7676582	7676583	-
17	7676581	7676582	-
17	7676580	7676581	-
17	7676579	7676580	-
17	7676578	7676579	-
17	7676577	7676578	-
17	7676576	7676577	-
17	7676575	7676576	-
17	7676574	7676575	-
17	7676573	7676574	-
17	7676572	7676573	-
17	7676571	7676572	-
17	7676570	7676571	-
17	7676569	7676570	-
17	7676568	7676569	-
17	7676567	7676568	-
17	7676566	7676567	-
17	7676565	7676566	-
17	7676564	7676565	-
17	7676563	7676564	-
17	7676562	7676563	-
17	7676561	7676562	-
17	7676560	7676561	-
17	7676559	7676560	-
17	7676558	7676559	-
17	7676557	7676558	-
17	7676556	7676557	-
17	7676555	7676556	-
17	7676554	7676555	-
17	7676553	7676554	-
17	7676552	7676553	-
17	7676551	7676552	-
17	7676550	7676551	-
17	7676549	7676550	-
17	7676548	7676549	-
17	7676547	7676548	-
17	7676546	7676547	-
17	7676545	7676546	-
17	7676544	7676545	-
17	7676543	7676544	-
17	7676542	7676543	-
17	7676541	7676542	-
17	7676540	7676541	-
17	7676539	7676540	-
17	7676538	7676539	-
17	7676537	7676538	-
17	7676536	7676537	-
17	7676535	7676536	-
17	7676534	7676535	-
17	7676533	7676534	-
17	7676532	7676533	-
17	7676531	7676532	-
17	7676530	7676531	-
17	7676529	7676530	-
17	7676528	7676529	-
17	7676527	7676528	-
17	7676526	7676527	-
17	7676525	7676526	-
17	7676524	7676525	-
17	7676523	7676524	-
17	7676522	7676523	-
17	7676521	7676522	-
17	7676520	7676521	-
17	7676402	7676403	-
17	7676401	7676402	-
17	7676400	7676401	-
17	7676399	7676400	-
17	7676398	7676399	-
17	7676397	7676398	-
17	7676396	7676397	-
17	7676395	7676396	-
17	7676394	7676395	-
17	7676393	7676394	-
17	7676392	7676393	-
17	7676391	7676392	-
17	7676390	7676391	-
17	7676389	7676390	-
17	7676388	7676389	-
17	7676387	7676388	-
17	7676386	7676387	-
17	7676385	7676386	-
17	7676384	7676385	-
17	7676383	7676384	-
17	7676382	7676383	-
17	7676381	7676382	-
