pos	rel_pos
7676593	1
7676592	2
7676591	3
7676590	4
7676589	5
7676588	6
7676587	7
7676586	8
7676585	9
7676584	10
7676583	11
7676582	12
7676581	13
7676580	14
7676579	15
7676578	16
7676577	17
7676576	18
7676575	19
7676574	20
7676573	21
7676572	22
7676571	23
7676570	24
7676569	25
7676568	26
7676567	27
7676566	28
7676565	29
7676564	30
7676563	31
7676562	32
7676561	33
7676560	34
7676559	35
7676558	36
7676557	37
7676556	38
7676555	39
7676554	40
7676553	41
7676552	42
7676551	43
7676550	44
7676549	45
7676548	46
7676547	47
7676546	48
7676545	49
7676544	50
7676543	51
7676542	52
7676541	53
7676540	54
7676539	55
7676538	56
7676537	57
7676536	58
7676535	59
7676534	60
7676533	61
7676532	62
7676531	63
7676530	64
7676529	65
7676528	66
7676527	67
7676526	68
7676525	69
7676524	70
7676523	71
7676522	72
7676521	73
7676520	74
7676402	75
7676401	76
7676400	77
7676399	78
7676398	79
7676397	80
7676396	81
7676395	82
7676394	83
7676393	84
7676392	85
7676391	86
7676390	87
7676389	88
7676388	89
7676387	90
7676386	91
7676385	92
7676384	93
7676383	94
7676382	95
7676381	96
7676271	97
7676270	98
7676269	99
7676268	100
7676267	101
7676266	102
7676265	103
7676264	104
7676263	105
7676262	106
7676261	107
7676260	108
7676259	109
7676258	110
7676257	111
7676256	112
7676255	113
7676254	114
7676253	115
7676252	116
7676251	117
7676250	118
7676249	119
7676248	120
7676247	121
7676246	122
7676245	123
7676244	124
7676243	125
7676242	126
7676241	127
7676240	128
7676239	129
7676238	130
7676237	131
7676236	132
7676235	133
7676234	134
7676233	135
7676232	136
7676231	137
7676230	138
7676229	139
7676228	140
7676227	141
7676226	142
7676225	143
7676224	144
7676223	145
7676222	146
7676221	147
7676220	148
7676219	149
7676218	150
7676217	151
7676216	152
7676215	153
7676214	154
7676213	155
7676212	156
7676211	157
7676210	158
7676209	159
7676208	160
7676207	161
7676206	162
7676205	163
7676204	164
7676203	165
7676202	166
7676201	167
7676200	168
7676199	169
7676198	170
7676197	171
7676196	172
7676195	173
7676194	174
7676193	175
7676192	176
7676191	177
7676190	178
7676189	179
7676188	180
7676187	181
7676186	182
7676185	183
7676184	184
7676183	185
7676182	186
7676181	187
7676180	188
7676179	189
7676178	190
7676177	191
7676176	192
7676175	193
7676174	194
7676173	195
7676172	196
7676171	197
7676170	198
7676169	199
7676168	200
7676167	201
7676166	202
7676165	203
7676164	204
7676163	205
7676162	206
7676161	207
7676160	208
7676159	209
7676158	210
7676157	211
7676156	212
7676155	213
7676154	214
7676153	215
7676152	216
7676151	217
7676150	218
7676149	219
7676148	220
7676147	221
7676146	222
7676145	223
7676144	224
7676143	225
7676142	226
7676141	227
7676140	228
7676139	229
7676138	230
7676137	231
7676136	232
7676135	233
7676134	234
7676133	235
7676132	236
7676131	237
7676130	238
7676129	239
7676128	240
7676127	241
7676126	242
7676125	243
7676124	244
7676123	245
7676122	246
7676121	247
7676120	248
7676119	249
7676118	250
7676117	251
7676116	252
7676115	253
7676114	254
7676113	255
7676112	256
7676111	257
7676110	258
7676109	259
7676108	260
7676107	261
7676106	262
7676105	263
7676104	264
7676103	265
7676102	266
7676101	267
7676100	268
7676099	269
7676098	270
7676097	271
7676096	272
7676095	273
7676094	274
7676093	275
7676092	276
7676091	277
7676090	278
7676089	279
7676088	280
7676087	281
7676086	282
7676085	283
7676084	284
7676083	285
7676082	286
7676081	287
7676080	288
7676079	289
7676078	290
7676077	291
7676076	292
7676075	293
7676074	294
7676073	295
7676072	296
7676071	297
7676070	298
7676069	299
7676068	300
7676067	301
7676066	302
7676065	303
7676064	304
7676063	305
7676062	306
7676061	307
7676060	308
7676059	309
7676058	310
7676057	311
7676056	312
7676055	313
7676054	314
7676053	315
7676052	316
7676051	317
7676050	318
7676049	319
7676048	320
7676047	321
7676046	322
7676045	323
7676044	324
7676043	325
7676042	326
7676041	327
7676040	328
7676039	329
7676038	330
7676037	331
7676036	332
7676035	333
7676034	334
7676033	335
7676032	336
7676031	337
7676030	338
7676029	339
7676028	340
7676027	341
7676026	342
7676025	343
7676024	344
7676023	345
7676022	346
7676021	347
7676020	348
7676019	349
7676018	350
7676017	351
7676016	352
7676015	353
7676014	354
7676013	355
7676012	356
7676011	357
7676010	358
7676009	359
7676008	360
7676007	361
7676006	362
7676005	363
7676004	364
7676003	365
7676002	366
7676001	367
7676000	368
7675999	369
7675998	370
7675997	371
7675996	372
7675995	373
7675994	374
7675993	375
7675235	376
7675234	377
7675233	378
7675232	379
7675231	380
7675230	381
7675229	382
7675228	383
7675227	384
7675226	385
7675225	386
7675224	387
7675223	388
7675222	389
7675221	390
7675220	391
7675219	392
7675218	393
7675217	394
7675216	395
7675215	396
7675214	397
7675213	398
7675212	399
7675211	400
7675210	401
7675209	402
7675208	403
7675207	404
7675206	405
7675205	406
7675204	407
7675203	408
7675202	409
7675201	410
7675200	411
7675199	412
7675198	413
7675197	414
7675196	415
7675195	416
7675194	417
7675193	418
7675192	419
7675191	420
7675190	421
7675189	422
7675188	423
7675187	424
7675186	425
7675185	426
7675184	427
7675183	428
7675182	429
7675181	430
7675180	431
7675179	432
7675178	433
7675177	434
7675176	435
7675175	436
7675174	437
7675173	438
7675172	439
7675171	440
7675170	441
7675169	442
7675168	443
7675167	444
7675166	445
7675165	446
7675164	447
7675163	448
7675162	449
7675161	450
7675160	451
7675159	452
7675158	453
7675157	454
7675156	455
7675155	456
7675154	457
7675153	458
7675152	459
7675151	460
7675150	461
7675149	462
7675148	463
7675147	464
7675146	465
7675145	466
7675144	467
7675143	468
7675142	469
7675141	470
7675140	471
7675139	472
7675138	473
7675137	474
7675136	475
7675135	476
7675134	477
7675133	478
7675132	479
7675131	480
7675130	481
7675129	482
7675128	483
7675127	484
7675126	485
7675125	486
7675124	487
7675123	488
7675122	489
7675121	490
7675120	491
7675119	492
7675118	493
7675117	494
7675116	495
7675115	496
7675114	497
7675113	498
7675112	499
7675111	500
7675110	501
7675109	502
7675108	503
7675107	504
7675106	505
7675105	506
7675104	507
7675103	508
7675102	509
7675101	510
7675100	511
7675099	512
7675098	513
7675097	514
7675096	515
7675095	516
7675094	517
7675093	518
7675092	519
7675091	520
7675090	521
7675089	522
7675088	523
7675087	524
7675086	525
7675085	526
7675084	527
7675083	528
7675082	529
7675081	530
7675080	531
7675079	532
7675078	533
7675077	534
7675076	535
7675075	536
7675074	537
7675073	538
7675072	539
7675071	540
7675070	541
7675069	542
7675068	543
7675067	544
7675066	545
7675065	546
7675064	547
7675063	548
7675062	549
7675061	550
7675060	551
7675059	552
7675058	553
7675057	554
7675056	555
7675055	556
7675054	557
7675053	558
7675052	559
7674970	560
7674969	561
7674968	562
7674967	563
7674966	564
7674965	565
7674964	566
7674963	567
7674962	568
7674961	569
7674960	570
7674959	571
7674958	572
7674957	573
7674956	574
7674955	575
7674954	576
7674953	577
7674952	578
7674951	579
7674950	580
7674949	581
7674948	582
7674947	583
7674946	584
7674945	585
7674944	586
7674943	587
7674942	588
7674941	589
7674940	590
7674939	591
7674938	592
7674937	593
7674936	594
7674935	595
7674934	596
7674933	597
7674932	598
7674931	599
7674930	600
7674929	601
7674928	602
7674927	603
7674926	604
7674925	605
7674924	606
7674923	607
7674922	608
7674921	609
7674920	610
7674919	611
7674918	612
7674917	613
7674916	614
7674915	615
7674914	616
7674913	617
7674912	618
7674911	619
7674910	620
7674909	621
7674908	622
7674907	623
7674906	624
7674905	625
7674904	626
7674903	627
7674902	628
7674901	629
7674900	630
7674899	631
7674898	632
7674897	633
7674896	634
7674895	635
7674894	636
7674893	637
7674892	638
7674891	639
7674890	640
7674889	641
7674888	642
7674887	643
7674886	644
7674885	645
7674884	646
7674883	647
7674882	648
7674881	649
7674880	650
7674879	651
7674878	652
7674877	653
7674876	654
7674875	655
7674874	656
7674873	657
7674872	658
7674871	659
7674870	660
7674869	661
7674868	662
7674867	663
7674866	664
7674865	665
7674864	666
7674863	667
7674862	668
7674861	669
7674860	670
7674859	671
7674858	672
7674289	673
7674288	674
7674287	675
7674286	676
7674285	677
7674284	678
7674283	679
7674282	680
7674281	681
7674280	682
7674279	683
7674278	684
7674277	685
7674276	686
7674275	687
7674274	688
7674273	689
7674272	690
7674271	691
7674270	692
7674269	693
7674268	694
7674267	695
7674266	696
7674265	697
7674264	698
7674263	699
7674262	700
7674261	701
7674260	702
7674259	703
7674258	704
7674257	705
7674256	706
7674255	707
7674254	708
7674253	709
7674252	710
7674251	711
7674250	712
7674249	713
7674248	714
7674247	715
7674246	716
7674245	717
7674244	718
7674243	719
7674242	720
7674241	721
